Bloque,IPs Muestra,Resultado,zen.spamhaus.org,Total Listas
185.220.94.0/24,185.220.94.1| 185.220.94.62| 185.220.94.92| 185.220.94.77| 185.220.94.136| 185.220.94.53| 185.220.94.170| 185.220.94.232| 185.220.94.134| 185.220.94.204| 185.220.94.188| 185.220.94.106| 185.220.94.27| 185.220.94.115| 185.220.94.254,LIMPIO,,0
185.220.95.0/24,185.220.95.1| 185.220.95.131| 185.220.95.81| 185.220.95.88| 185.220.95.94| 185.220.95.20| 185.220.95.245| 185.220.95.117| 185.220.95.125| 185.220.95.36| 185.220.95.30| 185.220.95.182| 185.220.95.243| 185.220.95.39| 185.220.95.254,LIMPIO,,0
185.220.96.0/24,185.220.96.1| 185.220.96.239| 185.220.96.93| 185.220.96.197| 185.220.96.246| 185.220.96.51| 185.220.96.35| 185.220.96.235| 185.220.96.62| 185.220.96.142| 185.220.96.207| 185.220.96.36| 185.220.96.64| 185.220.96.251| 185.220.96.254,LIMPIO,,0
185.220.97.0/24,185.220.97.1| 185.220.97.191| 185.220.97.53| 185.220.97.41| 185.220.97.88| 185.220.97.119| 185.220.97.72| 185.220.97.93| 185.220.97.139| 185.220.97.152| 185.220.97.39| 185.220.97.131| 185.220.97.10| 185.220.97.147| 185.220.97.254,LIMPIO,,0
185.220.98.0/24,185.220.98.1| 185.220.98.125| 185.220.98.247| 185.220.98.227| 185.220.98.91| 185.220.98.221| 185.220.98.246| 185.220.98.143| 185.220.98.46| 185.220.98.156| 185.220.98.192| 185.220.98.248| 185.220.98.137| 185.220.98.179| 185.220.98.254,LIMPIO,,0
185.220.99.0/24,185.220.99.1| 185.220.99.91| 185.220.99.5| 185.220.99.178| 185.220.99.180| 185.220.99.232| 185.220.99.2| 185.220.99.242| 185.220.99.219| 185.220.99.41| 185.220.99.215| 185.220.99.176| 185.220.99.227| 185.220.99.64| 185.220.99.254,LIMPIO,,0
185.220.100.0/24,185.220.100.1| 185.220.100.26| 185.220.100.28| 185.220.100.241| 185.220.100.240| 185.220.100.165| 185.220.100.152| 185.220.100.153| 185.220.100.79| 185.220.100.201| 185.220.100.102| 185.220.100.158| 185.220.100.131| 185.220.100.222| 185.220.100.254,BLOQUEO,,15
185.220.101.0/24,185.220.101.2,AUDITORIA,1,1
185.220.101.0/24,185.220.101.3,AUDITORIA,1,1
185.220.101.0/24,185.220.101.4,AUDITORIA,1,1
185.220.101.0/24,185.220.101.5,AUDITORIA,1,1
185.220.101.0/24,185.220.101.6,AUDITORIA,1,1
185.220.101.0/24,185.220.101.7,AUDITORIA,1,1
185.220.101.0/24,185.220.101.8,AUDITORIA,1,1
185.220.101.0/24,185.220.101.9,AUDITORIA,1,1
185.220.101.0/24,185.220.101.10,AUDITORIA,1,1
185.220.101.0/24,185.220.101.11,AUDITORIA,1,1
185.220.101.0/24,185.220.101.12,AUDITORIA,1,1
185.220.101.0/24,185.220.101.13,AUDITORIA,1,1
185.220.101.0/24,185.220.101.14,AUDITORIA,1,1
185.220.101.0/24,185.220.101.15,AUDITORIA,1,1
